,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes
339,uttar pradesh,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,uttar pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
341,uttar pradesh,2002,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
342,uttar pradesh,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
343,uttar pradesh,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
344,uttar pradesh,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
345,uttar pradesh,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,uttar pradesh,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
347,uttar pradesh,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
348,uttarakhand,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,uttarakhand,2002,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
350,uttarakhand,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,west bengal,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
354,west bengal,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
355,west bengal,2002,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
356,west bengal,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
358,west bengal,2002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
363,delhi,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
364,delhi,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
365,delhi,2002,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
366,delhi,2002,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
369,andhra pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
370,andhra pradesh,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
371,andhra pradesh,2003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
372,andhra pradesh,2003,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
373,andhra pradesh,2003,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
374,andhra pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
375,andhra pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
376,andhra pradesh,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
377,arunachal pradesh,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,arunachal pradesh,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
379,arunachal pradesh,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,arunachal pradesh,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
382,assam,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,assam,2003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
386,assam,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,bihar,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
390,bihar,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
392,bihar,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
393,bihar,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,bihar,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
395,bihar,2003,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
396,bihar,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
397,bihar,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
398,bihar,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
399,chhattisgarh,2003,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
400,chhattisgarh,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
401,chhattisgarh,2003,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
402,chhattisgarh,2003,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
403,chhattisgarh,2003,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
405,gujarat,2003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
406,gujarat,2003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
407,gujarat,2003,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
408,gujarat,2003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
409,gujarat,2003,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
410,gujarat,2003,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
411,gujarat,2003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
413,haryana,2003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
414,haryana,2003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
415,haryana,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
416,haryana,2003,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
417,haryana,2003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
418,himachal pradesh,2003,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
419,himachal pradesh,2003,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
420,himachal pradesh,2003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
421,himachal pradesh,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
422,jammu & kashmir,2003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
425,jammu & kashmir,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
429,jharkhand,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
430,jharkhand,2003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
431,jharkhand,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
432,jharkhand,2003,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
434,karnataka,2003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
435,karnataka,2003,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
436,karnataka,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
437,karnataka,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
438,karnataka,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
440,karnataka,2003,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
441,karnataka,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
442,kerala,2003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
443,kerala,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
444,kerala,2003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
445,kerala,2003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
446,kerala,2003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
447,madhya pradesh,2003,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
448,madhya pradesh,2003,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
449,madhya pradesh,2003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
450,madhya pradesh,2003,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
451,madhya pradesh,2003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
452,madhya pradesh,2003,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
453,madhya pradesh,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
454,madhya pradesh,2003,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
455,madhya pradesh,2003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
456,madhya pradesh,2003,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
457,madhya pradesh,2003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
458,madhya pradesh,2003,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
459,madhya pradesh,2003,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
460,maharashtra,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
461,maharashtra,2003,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
462,maharashtra,2003,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
463,maharashtra,2003,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
464,maharashtra,2003,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
465,maharashtra,2003,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
466,maharashtra,2003,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
467,maharashtra,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
468,maharashtra,2003,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
469,maharashtra,2003,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
470,maharashtra,2003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
471,maharashtra,2003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
472,manipur,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
473,manipur,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
475,meghalaya,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,meghalaya,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
477,mizoram,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,mizoram,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
482,odisha,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
483,odisha,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
484,odisha,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
485,odisha,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,odisha,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,odisha,2003,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
488,odisha,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,odisha,2003,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
490,odisha,2003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
491,punjab,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
492,punjab,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
493,punjab,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,punjab,2003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
495,punjab,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,punjab,2003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
497,rajasthan,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
498,rajasthan,2003,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
499,rajasthan,2003,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
500,rajasthan,2003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
501,rajasthan,2003,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
502,rajasthan,2003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
503,rajasthan,2003,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
504,rajasthan,2003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
505,rajasthan,2003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
507,tamil nadu,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
508,tamil nadu,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
509,tamil nadu,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
510,tamil nadu,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,tamil nadu,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,tamil nadu,2003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
513,tamil nadu,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,tamil nadu,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
515,tamil nadu,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
516,tamil nadu,2003,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
518,uttar pradesh,2003,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
519,uttar pradesh,2003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
520,uttar pradesh,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,uttar pradesh,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
522,uttar pradesh,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
523,uttar pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
524,uttar pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
525,uttar pradesh,2003,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
526,uttar pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
527,uttar pradesh,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,uttar pradesh,2003,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
529,uttar pradesh,2003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
530,uttar pradesh,2003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531,uttar pradesh,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
532,uttar pradesh,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
533,uttar pradesh,2003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
534,uttar pradesh,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,uttar pradesh,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
541,west bengal,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
542,west bengal,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
543,west bengal,2003,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
544,west bengal,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
546,west bengal,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
551,delhi,2003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
552,delhi,2003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
553,delhi,2003,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
554,delhi,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,andhra pradesh,2004,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
558,andhra pradesh,2004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
559,andhra pradesh,2004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
560,andhra pradesh,2004,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
561,andhra pradesh,2004,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
562,andhra pradesh,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
563,andhra pradesh,2004,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
564,andhra pradesh,2004,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
565,arunachal pradesh,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
566,arunachal pradesh,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
567,arunachal pradesh,2004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
570,assam,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
572,assam,2004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
574,assam,2004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,bihar,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
578,bihar,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
579,bihar,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,bihar,2004,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
581,bihar,2004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
582,bihar,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
583,bihar,2004,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
584,bihar,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
586,bihar,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
587,chhattisgarh,2004,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
588,chhattisgarh,2004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
589,chhattisgarh,2004,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
590,chhattisgarh,2004,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
591,chhattisgarh,2004,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
593,gujarat,2004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
594,gujarat,2004,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
595,gujarat,2004,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
596,gujarat,2004,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
597,gujarat,2004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
598,gujarat,2004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
599,gujarat,2004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
600,gujarat,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,haryana,2004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
602,haryana,2004,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
603,haryana,2004,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
604,haryana,2004,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
605,haryana,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
606,himachal pradesh,2004,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
607,himachal pradesh,2004,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
608,himachal pradesh,2004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
609,himachal pradesh,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
610,jammu & kashmir,2004,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
612,jammu & kashmir,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,jammu & kashmir,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,jammu & kashmir,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,jharkhand,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618,jharkhand,2004,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
619,jharkhand,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
620,jharkhand,2004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,jharkhand,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,karnataka,2004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
623,karnataka,2004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
624,karnataka,2004,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
625,karnataka,2004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
626,karnataka,2004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
627,karnataka,2004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,karnataka,2004,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
629,karnataka,2004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
630,kerala,2004,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
631,kerala,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
632,kerala,2004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,kerala,2004,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
634,kerala,2004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
635,madhya pradesh,2004,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
636,madhya pradesh,2004,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
637,madhya pradesh,2004,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
638,madhya pradesh,2004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
639,madhya pradesh,2004,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
640,madhya pradesh,2004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
641,madhya pradesh,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
642,madhya pradesh,2004,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
643,madhya pradesh,2004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
644,madhya pradesh,2004,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
645,madhya pradesh,2004,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
646,madhya pradesh,2004,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
647,madhya pradesh,2004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
648,maharashtra,2004,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
649,maharashtra,2004,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
650,maharashtra,2004,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
651,maharashtra,2004,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
652,maharashtra,2004,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
653,maharashtra,2004,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
654,maharashtra,2004,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
655,maharashtra,2004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
656,maharashtra,2004,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
657,maharashtra,2004,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
658,maharashtra,2004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
659,maharashtra,2004,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
660,manipur,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,manipur,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
670,odisha,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
672,odisha,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
