,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes
84,madhya pradesh,2001,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
85,madhya pradesh,2001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,madhya pradesh,2001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
87,madhya pradesh,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,maharashtra,2001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,maharashtra,2001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
90,maharashtra,2001,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
91,maharashtra,2001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
92,maharashtra,2001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
93,maharashtra,2001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
94,maharashtra,2001,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
95,maharashtra,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
96,maharashtra,2001,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
97,maharashtra,2001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
98,maharashtra,2001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,maharashtra,2001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
110,odisha,2001,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
111,odisha,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,odisha,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,odisha,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,odisha,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,odisha,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,odisha,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,odisha,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,odisha,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,punjab,2001,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,punjab,2001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,punjab,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
122,punjab,2001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
123,punjab,2001,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,punjab,2001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
125,rajasthan,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,rajasthan,2001,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
127,rajasthan,2001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
128,rajasthan,2001,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
129,rajasthan,2001,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130,rajasthan,2001,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
131,rajasthan,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
132,rajasthan,2001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
133,rajasthan,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135,tamil nadu,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,tamil nadu,2001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
137,tamil nadu,2001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,tamil nadu,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,tamil nadu,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,tamil nadu,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,tamil nadu,2001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
142,tamil nadu,2001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
143,tamil nadu,2001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,uttar pradesh,2001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,uttar pradesh,2001,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
148,uttar pradesh,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,uttar pradesh,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
150,uttar pradesh,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,uttar pradesh,2001,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,uttar pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
153,uttar pradesh,2001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
154,uttar pradesh,2001,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,uttar pradesh,2001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,uttar pradesh,2001,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
157,uttar pradesh,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
158,uttar pradesh,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
159,uttar pradesh,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,uttar pradesh,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,uttar pradesh,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,uttar pradesh,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,uttar pradesh,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,uttarakhand,2001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
166,uttarakhand,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,west bengal,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171,west bengal,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
