State,Year,Crimes,Literacy Rate,Int Border
delhi,2005,1026,83.15851429,0
lakshadweep,2005,0,92.88428571,0
puducherry,2005,8,83.8459619,0
andhra pradesh,2006,1386,61.89471429,0
arunachal pradesh,2006,27,59.15728571,1
assam,2006,252,67.10089286,1
bihar,2006,66,52.58053571,1
chhattisgarh,2006,1238,63.73714286,0
goa,2006,54,88.29089286,0
gujarat,2006,977,73.04482143,1
haryana,2006,462,71.999,0
himachal pradesh,2006,136,79.115,1
jammu & kashmir,2006,85,60.75924419,1
jharkhand,2006,112,58.01142857,0
karnataka,2006,276,70.49347619,0
kerala,2006,553,95.79714286,0
madhya pradesh,2006,3939,63.89821429,0
maharashtra,2006,2841,79.47625,0
manipur,2006,54,74.44446429,1
meghalaya,2006,71,67.07128571,1
mizoram,2006,35,91.12160714,1
nagaland,2006,14,75.30196429,1
odisha,2006,154,65.06535714,0
punjab,2006,329,72.756,1
rajasthan,2006,951,59.31982143,1
sikkim,2006,35,76.11,1
tamil nadu,2006,353,76.49685714,0
tripura,2006,41,80.659,1
uttar pradesh,2006,1767,59.03607143,1
uttarakhand,2006,51,74.15035714,1
west bengal,2006,432,71.50339286,1
a&n islands,2006,9,85.21214286,0
chandigarh,2006,64,83.963,0
d&n haveli,2006,15,66.2645,0
daman & diu,2006,3,82.80166667,0
delhi,2006,2160,83.65685714,0
lakshadweep,2006,0,94.2375,0
puducherry,2006,25,84.71504762,0
andhra pradesh,2007,1499,62.8812,0
arunachal pradesh,2007,4,60.4044,1
assam,2007,167,67.95992857,1
bihar,2007,675,53.32821429,1
chhattisgarh,2007,1024,64.78885714,0
goa,2007,70,89.40664286,0
gujarat,2007,1110,74.00307143,1
haryana,2007,325,73.3036,0
himachal pradesh,2007,151,80.062,1
jammu & kashmir,2007,26,61.86225581,1
jharkhand,2007,74,58.87857143,0
karnataka,2007,266,71.42773333,0
kerala,2007,487,96.626,0
madhya pradesh,2007,4290,64.86442857,0
maharashtra,2007,2707,80.42621429,0
manipur,2007,49,75.45635714,1
meghalaya,2007,71,68.0536,1
mizoram,2007,64,92.18807143,1
nagaland,2007,7,76.4605,1
odisha,2007,201,66.05471429,0
punjab,2007,527,73.8532,1
rajasthan,2007,1252,60.29621429,1
sikkim,2007,31,77.7312,1
tamil nadu,2007,441,77.3852,0
tripura,2007,63,82.0072,1
uttar pradesh,2007,2248,59.945,1
uttarakhand,2007,101,75.26214286,1
west bengal,2007,361,72.36821429,1
a&n islands,2007,10,86.18828571,0
chandigarh,2007,53,84.3468,0
d&n haveli,2007,11,67.674,0
daman & diu,2007,3,83.59666667,0
delhi,2007,1806,84.1552,0
lakshadweep,2007,0,95.59071429,0
puducherry,2007,23,85.58413333,0
andhra pradesh,2008,1321,63.86768571,0
arunachal pradesh,2008,24,61.65151429,1
assam,2008,183,68.81896429,1
bihar,2008,766,54.07589286,1
chhattisgarh,2008,1167,65.84057143,0
goa,2008,80,90.52239286,0
gujarat,2008,1074,74.96132143,1
haryana,2008,269,74.6082,0
himachal pradesh,2008,205,81.009,1
jammu & kashmir,2008,10,62.96526744,1
jharkhand,2008,71,59.74571429,0
karnataka,2008,388,72.36199048,0
kerala,2008,549,97.45485714,0
madhya pradesh,2008,4259,65.83064286,0
maharashtra,2008,2709,81.37617857,0
manipur,2008,89,76.46825,1
meghalaya,2008,62,69.03591429,1
mizoram,2008,22,93.25453571,1
nagaland,2008,3,77.61903571,1
odisha,2008,141,67.04407143,0
punjab,2008,389,74.9504,1
rajasthan,2008,1223,61.27260714,1
sikkim,2008,24,79.3524,1
tamil nadu,2008,666,78.27354286,0
tripura,2008,163,83.3554,1
uttar pradesh,2008,4078,60.85392857,1
uttarakhand,2008,38,76.37392857,1
west bengal,2008,513,73.23303571,1
a&n islands,2008,47,87.16442857,0
chandigarh,2008,66,84.7306,0
d&n haveli,2008,17,69.0835,0
daman & diu,2008,4,84.39166667,0
delhi,2008,1854,84.65354286,0
lakshadweep,2008,0,96.94392857,0
puducherry,2008,26,86.45321905,0
andhra pradesh,2009,1719,64.85417143,0
arunachal pradesh,2009,33,62.89862857,1
assam,2009,44,69.678,1
bihar,2009,1016,54.82357143,1
chhattisgarh,2009,1321,66.89228571,0
goa,2009,92,91.63814286,0
gujarat,2009,968,75.91957143,1
haryana,2009,353,75.9128,0
himachal pradesh,2009,221,81.956,1
jammu & kashmir,2009,18,64.06827907,1
jharkhand,2009,60,60.61285714,0
karnataka,2009,308,73.29624762,0
kerala,2009,587,98.28371429,0
madhya pradesh,2009,4646,66.79685714,0
maharashtra,2009,2894,82.32614286,0
manipur,2009,72,77.48014286,1
meghalaya,2009,83,70.01822857,1
mizoram,2009,14,94.321,1
nagaland,2009,0,78.77757143,1
odisha,2009,194,68.03342857,0
punjab,2009,729,76.0476,1
rajasthan,2009,1407,62.249,1
sikkim,2009,40,80.9736,1
tamil nadu,2009,634,79.16188571,0
tripura,2009,163,84.7036,1
uttar pradesh,2009,3085,61.76285714,1
uttarakhand,2009,33,77.48571429,1
west bengal,2009,484,74.09785714,1
a&n islands,2009,41,88.14057143,0
chandigarh,2009,71,85.1144,0
d&n haveli,2009,11,70.493,0
daman & diu,2009,2,85.18666667,0
delhi,2009,2839,85.15188571,0
lakshadweep,2009,0,98.29714286,0
puducherry,2009,21,87.32230476,0
andhra pradesh,2010,1823,65.84065714,0
arunachal pradesh,2010,20,64.14574286,1
assam,2010,197,70.53703571,1
bihar,2010,1843,55.57125,1
chhattisgarh,2010,1463,67.944,0
goa,2010,79,92.75389286,0
gujarat,2010,1006,76.87782143,1
haryana,2010,303,77.2174,0
himachal pradesh,2010,246,82.903,1
jammu & kashmir,2010,17,65.1712907,1
jharkhand,2010,54,61.48,0
karnataka,2010,409,74.23050476,0
kerala,2010,596,99.11257143,0
madhya pradesh,2010,4912,67.76307143,0
maharashtra,2010,3264,83.27610714,0
manipur,2010,73,78.49203571,1
meghalaya,2010,110,71.00054286,1
mizoram,2010,50,95.38746429,1
nagaland,2010,10,79.93610714,1
odisha,2010,194,69.02278571,0
punjab,2010,627,77.1448,1
rajasthan,2010,1318,63.22539286,1
sikkim,2010,29,82.5948,1
tamil nadu,2010,810,80.05022857,0
tripura,2010,227,86.0518,1
uttar pradesh,2010,2332,62.67178571,1
uttarakhand,2010,31,78.5975,1
west bengal,2010,880,74.96267857,1
a&n islands,2010,51,89.11671429,0
chandigarh,2010,59,85.4982,0
d&n haveli,2010,13,71.9025,0
daman & diu,2010,2,85.98166667,0
delhi,2010,3630,85.65022857,0
lakshadweep,2010,0,99.65035714,0
puducherry,2010,16,88.19139048,0
andhra pradesh,2011,2213,66.82714286,0
arunachal pradesh,2011,35,65.39285714,1
assam,2011,236,71.39607143,1
bihar,2011,2233,56.31892857,1
chhattisgarh,2011,1782,68.99571429,0
goa,2011,75,93.86964286,0
