45,jammu & kashmir,2002,2.0,7.0,2.0,23.0,0.0,4.0,0.0,0.0,0.0,4.0,42.0,56.34719767441857
46,jharkhand,2002,3.0,43.0,0.0,21.0,0.0,0.0,5.0,0.0,0.0,39.0,111.0,54.54285714285675
47,karnataka,2002,28.0,19.0,7.0,23.0,0.0,10.0,7.0,1.0,1.0,18.0,114.0,66.7564476190471
48,kerala,2002,64.0,54.0,2.0,31.0,0.0,9.0,6.0,0.0,6.0,68.0,240.0,92.48171428571459
49,madhya pradesh,2002,94.0,517.0,4.0,154.0,1.0,91.0,5.0,1.0,2.0,1460.0,2329.0,60.03335714285754
50,maharashtra,2002,248.0,491.0,10.0,275.0,6.0,282.0,34.0,1.0,18.0,487.0,1860.0,75.6763928571429
51,manipur,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.39689285714303
52,meghalaya,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.142028571428
53,mizoram,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.85575000000063
54,nagaland,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.66782142857164
55,odisha,2002,7.0,21.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,16.0,56.0,61.107928571429284
56,punjab,2002,13.0,52.0,10.0,62.0,0.0,0.0,5.0,0.0,1.0,18.0,161.0,68.3672000000006
57,rajasthan,2002,20.0,38.0,6.0,52.0,0.0,79.0,2.0,0.0,7.0,0.0,204.0,55.41424999999981
58,sikkim,2002,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,69.62519999999995
59,tamil nadu,2002,45.0,29.0,0.0,29.0,0.0,5.0,0.0,0.0,0.0,27.0,135.0,72.94348571428645
60,tripura,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.26620000000094
61,uttar pradesh,2002,424.0,416.0,1.0,539.0,0.0,0.0,4.0,0.0,2.0,440.0,1826.0,55.40035714285659
62,uttarakhand,2002,7.0,8.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,27.0,69.70321428571424
63,west bengal,2002,4.0,16.0,0.0,94.0,0.0,0.0,14.0,1.0,0.0,46.0,175.0,68.04410714285723
64,a&n islands,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3075714285701
65,chandigarh,2002,3.0,6.0,0.0,22.0,1.0,8.0,0.0,0.0,0.0,9.0,49.0,82.4278000000005
66,d&n haveli,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.62649999999985
67,daman & diu,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.62166666666667
68,delhi,2002,29.0,138.0,20.0,426.0,0.0,29.0,0.0,0.0,0.0,55.0,697.0,81.6634857142875
69,lakshadweep,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.82464285714241
70,puducherry,2002,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,17.0,81.23870476190405
71,andhra pradesh,2003,119.0,383.0,0.0,373.0,3.0,36.0,46.0,1.0,4.0,498.0,1463.0,58.935257142856926
72,arunachal pradesh,2003,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,55.415942857142454
73,assam,2003,2.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0,64.52378571428608
74,bihar,2003,8.0,3.0,0.0,33.0,0.0,1.0,1.0,0.0,0.0,10.0,56.0,50.337499999999636
75,chhattisgarh,2003,29.0,186.0,6.0,45.0,4.0,3.0,0.0,0.0,6.0,335.0,614.0,60.58199999999988
76,goa,2003,0.0,22.0,0.0,9.0,0.0,5.0,5.0,0.0,0.0,16.0,57.0,84.94364285714391
77,gujarat,2003,49.0,75.0,4.0,267.0,0.0,82.0,2.0,0.0,11.0,175.0,665.0,70.1700714285721
78,haryana,2003,24.0,77.0,2.0,92.0,0.0,24.0,3.0,0.0,3.0,62.0,287.0,68.08520000000135
79,himachal pradesh,2003,5.0,36.0,0.0,23.0,0.0,11.0,4.0,1.0,1.0,28.0,109.0,76.27400000000034
80,jammu & kashmir,2003,0.0,2.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0,7.0,49.0,57.45020930232522
81,jharkhand,2003,7.0,16.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,35.0,55.40999999999963
82,karnataka,2003,23.0,25.0,0.0,29.0,0.0,11.0,1.0,0.0,2.0,25.0,116.0,67.69070476190427
83,kerala,2003,31.0,69.0,0.0,23.0,0.0,1.0,7.0,0.0,0.0,48.0,179.0,93.31057142857185
84,madhya pradesh,2003,165.0,699.0,11.0,210.0,9.0,90.0,13.0,25.0,3.0,1437.0,2662.0,60.9995714285717
