State/ UT,District/ Area,Year,Murder,Infanticide,Rape,Foeticide,Kidnapping & Abduction,Abetment of suicide of child,Exposure and Abandonment,Procuration of minor girls,Selling of minors for prostitution,"Prohibition of Child Marriage Act, 2006",Other Crimes,Total Crimes
Andhra Pradesh,Anantapur,2015,10,0,20,0,46,0,0,0,0,2,0,104
Andhra Pradesh,Chittoor,2015,0,0,30,0,13,0,0,0,0,0,0,66
Andhra Pradesh,Cuddapah,2015,0,0,26,0,12,0,0,1,0,4,0,66
Andhra Pradesh,East Godavari,2015,1,0,53,0,20,0,2,0,0,3,0,144
Andhra Pradesh,Guntakal Railway,2015,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntur,2015,4,0,38,0,16,1,4,17,0,0,22,114
Andhra Pradesh,Guntur Urban,2015,1,1,22,0,64,0,3,0,0,0,16,118
Andhra Pradesh,Krishna,2015,1,0,46,0,15,0,0,0,0,0,19,187
Andhra Pradesh,Kurnool,2015,4,3,3,0,10,0,2,0,0,1,0,35
Andhra Pradesh,Nellore,2015,5,0,37,0,26,0,5,13,0,1,18,131
Andhra Pradesh,Prakasham,2015,1,0,1,0,24,0,2,2,0,1,6,128
Andhra Pradesh,Rajahmundry,2015,3,0,8,0,12,0,0,0,0,0,15,60
Andhra Pradesh,Srikakulam,2015,1,0,29,0,26,0,0,0,0,1,19,85
Andhra Pradesh,Tirupathi Urban,2015,1,0,15,0,19,0,0,0,0,0,0,35
Andhra Pradesh,Vijayawada City,2015,2,0,30,0,24,0,5,0,0,0,95,204
Andhra Pradesh,Vijayawada Railway,2015,0,0,1,0,0,0,4,0,0,0,0,7
Andhra Pradesh,Visakha Rural,2015,2,0,0,0,0,0,0,0,0,1,0,17
Andhra Pradesh,Visakhapatnam,2015,0,0,28,0,126,0,0,0,0,1,7,177
Andhra Pradesh,Vizianagaram,2015,3,0,13,0,12,0,0,0,0,0,1,54
Andhra Pradesh,West Godavari,2015,5,0,89,0,32,0,0,0,0,0,80,260
Andhra Pradesh,Total District(s),2015,44,4,489,0,497,1,27,33,0,15,298,1992
Arunachal Pradesh,Anjaw,2015,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,2015,0,0,0,0,5,0,0,0,0,0,0,5
Arunachal Pradesh,Crime Branch,2015,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Dibang Valley,2015,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,2015,1,0,2,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Kameng West,2015,0,0,0,0,2,0,0,0,0,0,0,4
Arunachal Pradesh,Kurung Kumey,2015,0,0,0,0,3,0,0,0,0,0,0,5
Arunachal Pradesh,Lohit,2015,0,0,3,0,21,0,0,0,0,0,0,24
Arunachal Pradesh,Longding,2015,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,2015,0,0,1,0,7,0,0,0,0,0,0,8
Arunachal Pradesh,Papum Pare City,2015,2,0,11,0,71,0,0,0,0,0,0,86
Arunachal Pradesh,Papum Pare Rural,2015,1,0,1,0,2,0,0,0,0,0,0,4
Arunachal Pradesh,Siang East,2015,0,0,7,0,5,0,0,0,0,0,0,14
Arunachal Pradesh,Siang Upper,2015,0,0,0,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Siang West,2015,1,0,5,0,0,0,0,0,0,0,0,6
Arunachal Pradesh,Subansiri Lower,2015,1,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Subansiri Upper,2015,0,0,1,0,1,0,0,0,0,0,0,10
Arunachal Pradesh,Tawang,2015,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Tirap,2015,0,0,1,0,3,0,0,0,0,0,0,4
Arunachal Pradesh,Siang,2015,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Total District(s),2015,6,0,34,0,120,0,0,0,0,0,0,181
Assam,B. I. E. O.,2015,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Barpeta,2015,0,0,0,0,133,0,0,213,0,5,0,422
Assam,Baksa,2015,1,1,0,0,14,0,0,53,0,0,0,96
Assam,Bongaigaon,2015,0,0,0,0,0,0,0,0,0,0,0,12
Assam,C. I. D.,2015,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Cachar,2015,2,0,0,0,6,0,0,0,0,0,0,33
Assam,Chirang,2015,1,0,0,0,0,0,0,32,0,0,0,33
Assam,Darrang,2015,0,0,0,0,0,0,0,127,0,6,0,175
Assam,Dhemaji,2015,0,0,0,0,2,0,0,50,0,0,26,111
Assam,Dhubri,2015,0,0,0,0,0,0,0,190,0,2,0,229
Assam,Dibrugarh,2015,0,0,0,0,0,0,0,0,0,0,0,57
Assam,G. R. P.,2015,0,0,0,0,3,0,0,0,0,0,0,3
Assam,Goalpara,2015,0,0,4,0,0,0,0,3,0,0,0,27
Assam,Golaghat,2015,0,0,0,0,0,0,0,81,0,0,0,143
Assam,Guwahati City,2015,1,0,5,0,3,0,0,337,0,0,0,430
Assam,Hailakandi,2015,0,0,0,0,0,0,0,12,0,0,0,19
Assam,Hamren,2015,0,0,0,0,0,0,0,0,0,0,0,1
Assam,Jorhat,2015,1,0,5,0,39,0,0,8,0,0,0,78
Assam,Kamrup,2015,0,0,0,0,0,0,0,0,0,0,0,15
Assam,Karbi Anglong,2015,1,0,1,0,0,0,0,0,0,0,0,50
Assam,Karimganj,2015,0,0,0,0,0,0,0,66,0,0,0,77
Assam,Kokrajhar,2015,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Lakhimpur,2015,2,0,8,0,2,0,0,0,0,0,0,19
Assam,Morigaon,2015,0,0,0,0,0,0,0,0,0,0,0,34
Assam,Dima Hasao,2015,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Nagaon,2015,2,0,7,0,48,0,0,59,0,0,89,283
Assam,Nalbari,2015,0,0,0,0,0,0,0,0,0,0,0,22
Assam,R. P. O.,2015,0,0,0,0,0,0,0,0,0,0,0,0
Assam,S. T. F.,2015,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,2015,1,0,0,0,5,0,0,0,0,0,16,66
Assam,Sonitpur,2015,2,0,1,0,5,0,0,26,0,0,0,63
Assam,Tinsukia,2015,0,0,8,0,14,0,0,44,0,0,0,162
Assam,Udalguri,2015,0,0,0,0,1,0,0,2,0,0,0,20
Assam,Sadia,2015,0,0,4,0,5,0,0,0,0,0,0,9
Assam,Majuli,2015,0,0,0,0,0,0,0,0,0,0,0,2
Assam,Biswanath,2015,0,0,0,0,0,0,0,0,0,0,0,10
Assam,Hojai,2015,2,0,0,0,103,0,0,0,0,0,0,125
Assam,South Salmara,2015,0,0,0,0,0,0,0,0,0,1,0,9
Assam,Total District(s),2015,16,1,43,0,383,0,0,1303,0,14,131,2835
Bihar,Araria,2015,0,0,0,0,0,0,0,0,0,0,0,2
Bihar,Arwal,2015,0,0,0,0,21,0,0,0,0,0,0,21
Bihar,Aurangabad,2015,6,0,0,0,21,0,0,0,0,0,0,32
Bihar,Bagaha,2015,0,0,0,0,30,0,0,0,0,0,0,30
Bihar,Banka,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Begusarai,2015,7,0,0,0,7,0,0,20,0,0,0,45
Bihar,Bettiah,2015,0,0,0,0,0,0,0,0,0,0,17,17
Bihar,Bhabhua,2015,0,0,0,0,12,0,0,0,0,0,0,12
Bihar,Bhagalpur,2015,0,0,5,0,0,0,0,31,0,0,0,46
Bihar,Bhojpur,2015,9,0,9,0,67,0,0,0,0,0,0,85
Bihar,Buxar,2015,0,0,5,0,28,0,0,0,0,0,5,43
Bihar,Darbhanga,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Gaya,2015,0,0,2,0,50,0,0,0,0,0,0,56
Bihar,Gopalganj,2015,5,0,0,0,13,0,0,0,0,0,0,18
Bihar,Jamalpur Railway,2015,0,0,0,0,0,0,0,0,0,0,0,1
Bihar,Jamui,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Jehanabad,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Katihar,2015,0,0,0,0,14,0,0,0,0,0,0,16
Bihar,Katihar Railway,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Khagaria,2015,0,0,0,0,0,0,0,0,0,0,0,1
Bihar,Kishanganj,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Lakhisarai,2015,0,0,0,0,15,0,0,2,0,0,0,22
Bihar,Madhepura,2015,6,0,0,0,30,0,0,0,0,0,0,36
Bihar,Madhubani,2015,0,0,41,0,0,0,0,0,0,0,0,82
Bihar,Motihari,2015,36,0,0,0,84,0,0,0,0,0,0,120
Bihar,Munger,2015,0,0,0,0,0,0,0,0,0,0,8,8
Bihar,Muzaffarpur,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Muzaffarpur Railway,2015,0,0,0,0,0,0,0,0,0,0,0,15
Bihar,Nalanda,2015,0,0,12,0,95,0,0,62,0,0,0,169
Bihar,Naugachia,2015,0,0,4,0,21,0,0,0,0,0,0,27
Bihar,Nawadah,2015,11,0,4,0,100,0,0,0,0,0,0,116
Bihar,Patna,2015,1,0,0,0,123,0,0,190,0,0,0,315
Bihar,Patna Railway,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Purnea,2015,0,0,15,0,11,0,0,0,0,0,0,26
Bihar,Rohtas,2015,9,0,7,0,94,0,0,0,0,0,0,110
Bihar,Saharsa,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Samastipur,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Saran,2015,2,0,3,0,132,0,0,0,0,0,0,144
Bihar,Sheikhpura,2015,0,0,0,0,10,0,0,0,0,0,0,10
Bihar,Sheohar,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Sitamarhi,2015,0,0,0,0,26,0,0,0,0,0,0,26
Bihar,Siwan,2015,2,0,3,0,113,0,0,0,0,0,13,131
Bihar,Supaul,2015,1,0,6,0,5,0,0,0,0,0,0,12
Bihar,Vaishali,2015,2,0,0,0,109,0,0,0,0,0,12,123
Bihar,Economic Offences Unit,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Anti Terrorist Squad,2015,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Total District(s),2015,97,0,116,0,1231,0,0,305,0,0,55,1917
Chhattisgarh,Balod,2015,2,0,2,0,35,0,2,0,0,0,8,93
